Elapsed_Time MPI_Ranks OMP_Threads Matrix_Size
1.16377 1 1 500
0.504687 1 2 500
0.228895 1 4 500
0.456119 2 1 500
0.274076 2 2 500
0.115276 2 4 500
0.231227 4 1 500
0.116238 4 2 500
0.0622136 4 4 500
8.75757 1 1 1000
4.14079 1 2 1000
2.20954 1 4 1000
4.0422 2 1 1000
2.24506 2 2 1000
1.22732 2 4 1000
2.26487 4 1 1000
1.12397 4 2 1000
0.598284 4 4 1000
36.908 1 1 1500
18.7497 1 2 1500
10.5669 1 4 1500
18.6444 2 1 1500
11.2383 2 2 1500
5.76668 2 4 1500
11.0969 4 1 1500
6.16725 4 2 1500
2.92689 4 4 1500
